name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2022-08-13,83.5,63.4,74,81.5,63.4,73.7,51.4,47,0,0,0,,0,0,14.5,12,6.7,1019.6,28,9.9,73.7,6.2,10,10,2022-08-13T06:19:56,2022-08-13T20:05:26,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-14,82.8,69.7,74.5,82.2,69.7,74.4,58,57.7,0.02,100,8.33,rain,0,0,10.5,12.2,196.1,1017.4,85.4,9.8,55.9,4.9,7,10,2022-08-14T06:20:51,2022-08-14T20:04:09,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-15,75.8,67.9,71.2,75.8,67.9,71.2,64,78.4,0.11,100,12.5,rain,0,0,14.1,10.6,353.4,1015.3,91.9,9.7,39.1,3.5,4,10,2022-08-15T06:21:45,2022-08-15T20:02:51,0.58,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2022-08-16,81.8,66.7,74.2,81.6,66.7,74.2,59.6,63,0,0,0,,0,0,27.2,14.9,56.9,1015.5,60.6,9.9,84.2,7.1,9,10,2022-08-16T06:22:39,2022-08-16T20:01:32,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-17,84.5,65.3,73.4,84.2,65.3,73.4,61.2,67.6,0.02,100,4.17,rain,0,0,28.5,13,5.2,1016,63.3,9.9,54.5,4.8,3,30,2022-08-17T06:23:33,2022-08-17T20:00:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-18,86.7,64.4,75.3,85.6,64.4,75.2,59.7,61.3,0,0,0,,0,0,17.2,12.1,314.2,1015.1,18.3,9.9,55.3,4.7,3,10,2022-08-18T06:24:28,2022-08-18T19:58:51,0.72,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-19,87,70.3,78.5,91.1,70.3,79.7,67.3,69.8,0,0,0,,0,0,15.7,13.5,183.6,1018.1,46.8,9.9,56.4,4.7,5,30,2022-08-19T06:25:22,2022-08-19T19:57:29,0.77,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-20,88.6,71.2,79.4,91.6,71.2,80.6,67.1,67.3,0,0,0,,0,0,12.1,11.1,173.1,1020.5,59.1,9.9,85.3,7.4,9,30,2022-08-20T06:26:16,2022-08-20T19:56:06,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-21,80.8,72.5,76,84.2,72.5,76.2,70.9,84.4,0.08,100,8.33,rain,0,0,14.1,12,165.9,1018.3,66.3,9.9,21.2,1.8,1,60,2022-08-21T06:27:10,2022-08-21T19:54:42,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-22,84.7,72.9,77.5,89.2,72.9,78.5,71.2,82,0.03,100,4.17,rain,0,0,13.9,10.2,196.8,1012.2,86.1,9.9,71.8,6.1,9,75,2022-08-22T06:28:05,2022-08-22T19:53:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2022-08-23,88.6,72.6,79.4,89.5,72.6,79.9,63.9,60.6,0,0,0,,0,0,21.9,15.2,322.3,1011.8,36.1,9.9,72.1,6.3,9,30,2022-08-23T06:28:59,2022-08-23T19:51:52,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2022-08-24,89,69.7,79.7,90.3,69.7,80.1,62.4,57,0,0,0,,0,0,20.8,12.4,348.7,1016,25.5,9.9,79.4,6.8,8,10,2022-08-24T06:29:53,2022-08-24T19:50:26,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,F0198,KADW,KDAA"
"Washington,DC,USA",2022-08-25,89,67.9,80.1,93.6,67.9,82,67.6,66.8,0,0,0,,0,0,14.8,14.6,173.4,1017.6,71,9.9,40.7,3.4,3,60,2022-08-25T06:30:47,2022-08-25T19:48:59,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,F0198,KADW,KDAA,AS365"
"Washington,DC,USA",2022-08-26,92.7,73.8,82.3,93.6,73.8,83.8,68.5,66.4,0,0,0,,0,0,18.3,11.1,207.7,1014.7,49.9,9.4,60.9,5.4,8,60,2022-08-26T06:31:41,2022-08-26T19:47:31,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA"
"Washington,DC,USA",2022-08-27,90.8,73.7,81.6,93.5,73.7,83.4,68.3,65.3,0,0,0,,0,0,19.7,11.1,31.8,1015.6,60.4,9.9,64.3,5.6,5,60,2022-08-27T06:32:35,2022-08-27T19:46:03,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,F0198,KADW,KDAA,AS365"
"Washington,DC,USA",2022-08-28,90.9,73.6,81.9,96.6,73.6,85,70.8,70.2,0,0,0,,0,0,13.4,8.9,121.6,1018.5,55.2,9.9,194.2,16.6,9,75,2022-08-28T06:33:28,2022-08-28T19:44:34,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,F0198,KADW,KDAA,AS365,F7022"
"Washington,DC,USA",2022-08-29,91.8,74.6,82.5,98.6,74.6,85.6,71.8,72,0,0,0,,0,0,13.2,13.6,165.2,1018.8,46.8,9.9,218.6,19,9,60,2022-08-29T06:34:22,2022-08-29T19:43:04,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA,AS365"
"Washington,DC,USA",2022-08-30,93.7,73.9,80.5,99.9,73.9,82.4,71.7,76.9,0.14,100,4.17,rain,0,0,28.8,16.1,199.4,1012.6,51.5,9.7,177.8,15.3,8,60,2022-08-30T06:35:16,2022-08-30T19:41:34,0.05,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KDCA,72405013743,KADW,KDAA,AS365"
"Washington,DC,USA",2022-08-31,85.8,69.9,77.9,84.5,69.9,77.6,60.5,58,0,0,0,,0,0,26.1,14.9,301.8,1012.6,34.2,9.9,174.3,15.1,9,10,2022-08-31T06:36:10,2022-08-31T19:40:03,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA,AS365,74594013705"
